file_id,file_path,detection_id,detection_start_s,detection_end_s,presence_label,species_name,detection_probability,recorder_id,date_time,high_freq,low_freq,_source_csv,file_path_original
00235_eptesicus_serotinus_0_1.0.wav,data_raw/audio/00235_eptesicus_serotinus_0_1.0.wav,00235_eptesicus_serotinus_0_1.0.wav:0.133-0.145,0.1325,0.1447,present,Eptesicus serotinus,0.719,,,39448,27187,demo_data,data_raw/audio/00235_eptesicus_serotinus_0_1.0.wav
00235_eptesicus_serotinus_0_1.0.wav,data_raw/audio/00235_eptesicus_serotinus_0_1.0.wav,00235_eptesicus_serotinus_0_1.0.wav:0.458-0.468,0.4575,0.4677,present,Eptesicus serotinus,0.756,,,42203,28046,demo_data,data_raw/audio/00235_eptesicus_serotinus_0_1.0.wav
00235_eptesicus_serotinus_0_1.0.wav,data_raw/audio/00235_eptesicus_serotinus_0_1.0.wav,00235_eptesicus_serotinus_0_1.0.wav:0.552-0.561,0.5525,0.5612,present,Pipistrellus pygmaeus,0.299,,,56162,52109,demo_data,data_raw/audio/00235_eptesicus_serotinus_0_1.0.wav
00235_eptesicus_serotinus_0_1.0.wav,data_raw/audio/00235_eptesicus_serotinus_0_1.0.wav,00235_eptesicus_serotinus_0_1.0.wav:0.634-0.645,0.6345,0.645,present,Eptesicus serotinus,0.76,,,44454,28906,demo_data,data_raw/audio/00235_eptesicus_serotinus_0_1.0.wav
00235_eptesicus_serotinus_0_1.0.wav,data_raw/audio/00235_eptesicus_serotinus_0_1.0.wav,00235_eptesicus_serotinus_0_1.0.wav:0.851-0.860,0.8505,0.8598,present,Eptesicus serotinus,0.736,,,45553,28046,demo_data,data_raw/audio/00235_eptesicus_serotinus_0_1.0.wav
00003_myotis_alcathoe_0_1.0.wav,data_raw/audio/00003_myotis_alcathoe_0_1.0.wav,00003_myotis_alcathoe_0_1.0.wav:0.048-0.051,0.0475,0.0514,present,Myotis mystacinus,0.466,,,97797,43515,demo_data,data_raw/audio/00003_myotis_alcathoe_0_1.0.wav
00003_myotis_alcathoe_0_1.0.wav,data_raw/audio/00003_myotis_alcathoe_0_1.0.wav,00003_myotis_alcathoe_0_1.0.wav:0.079-0.083,0.0785,0.0828,present,Myotis mystacinus,0.486,,,93464,46093,demo_data,data_raw/audio/00003_myotis_alcathoe_0_1.0.wav
00003_myotis_alcathoe_0_1.0.wav,data_raw/audio/00003_myotis_alcathoe_0_1.0.wav,00003_myotis_alcathoe_0_1.0.wav:0.152-0.157,0.1525,0.1568,present,Myotis mystacinus,0.542,,,98358,34921,demo_data,data_raw/audio/00003_myotis_alcathoe_0_1.0.wav
00003_myotis_alcathoe_0_1.0.wav,data_raw/audio/00003_myotis_alcathoe_0_1.0.wav,00003_myotis_alcathoe_0_1.0.wav:0.185-0.191,0.1855,0.1905,present,Myotis mystacinus,0.538,,,109194,36640,demo_data,data_raw/audio/00003_myotis_alcathoe_0_1.0.wav
00003_myotis_alcathoe_0_1.0.wav,data_raw/audio/00003_myotis_alcathoe_0_1.0.wav,00003_myotis_alcathoe_0_1.0.wav:0.233-0.237,0.2325,0.2372,present,Myotis mystacinus,0.624,,,106618,40937,demo_data,data_raw/audio/00003_myotis_alcathoe_0_1.0.wav
00003_myotis_alcathoe_0_1.0.wav,data_raw/audio/00003_myotis_alcathoe_0_1.0.wav,00003_myotis_alcathoe_0_1.0.wav:0.367-0.372,0.3675,0.3724,present,Myotis mystacinus,0.532,,,116416,43515,demo_data,data_raw/audio/00003_myotis_alcathoe_0_1.0.wav
